what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1259394256702
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259394310781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394313202
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394313202
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394313281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394336671
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259394339531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394346484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394355062
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394355140
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394355187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259394359874
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259394417968
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394431874
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394431874
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394432046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394447906
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259394450390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394454921
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394461593
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394461671
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394461718
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259394465624
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259394493984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394496999
