what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1259376854999
started,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1259376854999
started,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1259376855140
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1259376855140
opened,view,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui.HelpView,1259376855359
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1259376856187
activated,view,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui.HelpView,1259376856359
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.helpSearch,1259376856640
started,bundle,org.eclipse.equinox.http.jetty,1.1.0.v20080425,org.eclipse.equinox.http.jetty,1259376885468
started,bundle,org.eclipse.equinox.http.servlet,1.0.100.v20080427-0830,org.eclipse.equinox.http.servlet,1259376885577
started,bundle,org.eclipse.equinox.http.registry,1.0.100.v20080427-0830,org.eclipse.equinox.http.registry,1259376885624
started,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1259376885718
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377148952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377156156
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259377433531
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259377444187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377467515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377467546
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377467546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377467609
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1259377467656
opened,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259377467687
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259377467734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377467906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259377468562
