what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.draw2d,3.4.2.v20090114-1330,org.eclipse.draw2d,1259322242265
started,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1259322242328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322242546
started,bundle,com.omondo.uml.std,3.4.1.v20081211,com.omondo.uml.std,1259322242593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322242640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322242687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322246171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322247125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322247203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322250171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322396140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322398343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322435859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322443609
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322445125
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1259322445140
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1259322445156
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1259322445156
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259322445265
stopped,bundle,com.omondo.uml.docgen,3.4.1.v20081211,com.omondo.uml.docgen,1259322445468
stopped,bundle,com.omondo.uml.std,3.4.1.v20081211,com.omondo.uml.std,1259322445468
stopped,bundle,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.core,1259322445468
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1259322445468
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1259322445468
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1259322445468
