what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394496999
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394497140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394511312
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259394512609
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394519671
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259394521749
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394523499
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394523577
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394523624
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394525140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394525156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394525265
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394529015
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259394531062
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259394532077
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259394578406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394580999
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394581015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394581140
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394610343
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259394611984
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259394613187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394626296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259394632624
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259394636484
