what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395023968
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395025484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395028281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395030702
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395032765
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395032859
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395032906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395035156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395038531
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395040859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395070390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395072296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395072296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395072390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395094015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395095218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395098968
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395100577
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395102249
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395102327
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395102374
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395104077
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395107859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395109999
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395132374
