what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395595499
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395602171
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395610124
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395610218
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395610265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395612999
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395637874
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395639984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395659702
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395661796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395665562
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395667406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395669202
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395669312
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395669359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395670062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395673577
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395675843
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395702015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395703452
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395721015
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395722812
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395727359
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395728656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395730249
