what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395280984
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395281046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395282749
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395286593
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395288890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395374140
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395377187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395403906
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259395405702
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395409702
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395414499
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395431859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395433296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395440406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395449968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395451234
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395451327
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259395451406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395452718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395456390
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259395458531
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1259395469234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395470343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395470343
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259395470437
