what,kind,bundleId,bundleVersion,description,time
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373938062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373938093
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373939796
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259373939890
closed,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373939890
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373941187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373941234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373943702
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259373943890
closed,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373943906
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373945937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373945984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373947062
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259373947156
closed,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373947156
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.StateDiagramEditor,1259373949749
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259373951374
closed,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.StateDiagramEditor,1259373951374
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373953124
activated,view,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ui.views.FontAndColorsView,1259373964281
activated,editor,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ClassDiagramEditor,1259373964327
closed,view,com.omondo.uml.core,3.4.1.v20081211,com.omondo.uml.ui.views.FontAndColorsView,1259373964359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373971999
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259373973359
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259373973452
