what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.importer,1259322445687
stopped,bundle,org.eclipse.xsd.ecore.importer,2.4.0.v200808251517,org.eclipse.xsd.ecore.importer,1259322445703
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200808251517,org.eclipse.emf.importer,1259322445703
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200808251517,org.eclipse.emf.converter,1259322445703
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.4.0.v200805131030,org.eclipse.uml2.codegen.ecore.ui,1259322445703
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200808251517,org.eclipse.emf.codegen.ecore.ui,1259322445703
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200808251517,org.eclipse.emf.codegen.ui,1259322445703
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2ecore.editor,1259322445718
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200808251517,org.eclipse.emf.ecore.editor,1259322445718
stopped,bundle,org.eclipse.emf.ecore.sdo.editor,2.4.0.v200808251517,org.eclipse.emf.ecore.sdo.editor,1259322445718
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ecore2xml.ui,1259322445718
stopped,bundle,org.eclipse.emf.mapping.xsd2ecore.editor,2.4.0.v200808251517,org.eclipse.emf.mapping.xsd2ecore.editor,1259322445718
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200808251517,org.eclipse.emf.mapping.ui,1259322445718
stopped,bundle,org.eclipse.emf.transaction.ui,1.2.0.v200805130238,org.eclipse.emf.transaction.ui,1259322445718
stopped,bundle,org.eclipse.emf.workspace.ui,1.2.0.v200805130238,org.eclipse.emf.workspace.ui,1259322445718
stopped,bundle,org.eclipse.uml2.uml.editor,2.2.0.v200805131030,org.eclipse.uml2.uml.editor,1259322445718
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1259322445718
stopped,bundle,org.eclipse.emf.example.installer,1.0.0.v200808251517,org.eclipse.emf.example.installer,1259322445718
stopped,bundle,org.eclipse.xsd.example.installer,1.0.0.v200808251517,org.eclipse.xsd.example.installer,1259322445718
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1259322445718
stopped,bundle,org.eclipse.emf.transaction.examples,1.2.0.v200806051817,org.eclipse.emf.transaction.examples,1259322445718
stopped,bundle,org.eclipse.emf.validation.examples,1.2.0.v200805280204,org.eclipse.emf.validation.examples,1259322445718
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,org.eclipse.wst.command.env.ui,1259322445718
stopped,bundle,org.eclipse.wst.validation.ui,1.2.4.v200901291336,org.eclipse.wst.validation.ui,1259322445718
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1259322445734
